Company,Inches,Memory,OpSys,Price_euros,height,width,Clock,Weight_in_kg
Dell,14.0,8,Linux,1089.0,1080,1920,2.8,1.64
Acer,15.6,4,Windows 10,599.0,768,1366,2.5,2.1
Microsoft,13.5,8,Windows 10 S,1340.0,1504,2256,2.5,1.252
Acer,14.0,4,Windows 10,349.0,768,1366,1.6,1.6
Asus,15.6,8,Windows 10,399.0,768,1366,1.1,2.0
Dell,15.6,8,Windows 10,1199.0,1080,1920,2.8,2.62
Lenovo,14.0,8,No OS,599.0,1080,1920,2.7,1.7
Dell,15.6,4,Linux,428.0,1080,1920,2.0,2.25
Lenovo,15.6,4,Windows 10,489.9,768,1366,2.0,2.1
Asus,17.3,32,Windows 10,3890.0,1080,1920,2.9,4.7
HP,15.6,8,Windows 10,794.0,1080,1920,1.6,2.1
Asus,14.0,8,Windows 10,1099.0,1080,1920,1.8,1.25
Acer,17.3,4,Windows 10,598.0,900,1600,2.0,3.3
Lenovo,17.3,4,Windows 10,489.0,900,1600,2.2,2.6
Asus,17.3,4,Windows 10,564.0,1080,1920,2.0,2.0
HP,13.3,8,Windows 10,1799.0,1440,2560,2.6,1.48
Dell,15.6,8,Windows 10,819.0,1080,1920,1.8,2.08
Asus,15.6,4,Windows 10,339.0,768,1366,1.1,2.0
Acer,14.0,8,Windows 10,770.0,1080,1920,1.6,1.6
Microsoft,13.5,16,Windows 10 S,2589.0,1504,2256,2.5,1.25
Dell,13.3,8,Windows 10,949.0,1080,1920,1.6,1.41
Samsung,15.6,16,Windows 10,1699.0,1080,1920,2.8,2.5
Lenovo,14.0,16,Windows 10,2509.0,1440,2560,2.7,1.42
Acer,15.6,4,Windows 10,410.8,768,1366,2.0,2.4
HP,14.0,8,Windows 7,1469.0,1080,1920,2.3,1.43
Lenovo,17.3,6,Windows 10,949.0,900,1600,2.7,2.8
Acer,15.6,4,Windows 10,544.0,1080,1920,2.0,2.23
Dell,15.6,4,Windows 10,499.0,768,1366,2.0,2.3
HP,15.6,4,Windows 10,369.0,768,1366,2.5,1.86
HP,15.6,8,Windows 10,618.99,768,1366,2.5,1.91
Dell,13.3,16,Windows 10,2680.0,1800,3200,2.7,1.2
Lenovo,14.0,8,Windows 10,859.0,1080,1920,2.7,1.87
MSI,18.4,32,Windows 10,2799.0,1080,1920,2.9,4.4
Dell,15.6,4,Windows 10,490.0,768,1366,2.0,2.29
Lenovo,17.3,8,Windows 10,659.0,900,1600,2.3,3.0
HP,15.6,4,Windows 10,499.0,1080,1920,2.0,2.1
HP,11.6,2,Windows 10,209.0,768,1366,1.6,1.17
Apple,13.3,8,macOS,1158.7,900,1440,1.8,1.34
HP,15.6,4,No OS,364.9,768,1366,2.0,1.86
Asus,15.6,16,Windows 10,1799.0,1080,1920,2.8,2.5
Dell,15.6,8,Windows 10,999.0,1080,1920,2.5,2.65
Dell,15.6,32,Windows 10,2639.0,2160,3840,2.8,2.06
HP,13.3,8,Windows 10,1149.0,1800,3200,2.7,1.39
Lenovo,15.6,6,Windows 10,549.0,1080,1920,3.6,2.2
MSI,17.3,16,Windows 10,2499.0,1080,1920,2.8,4.14
HP,14.0,4,Windows 10,1060.0,768,1366,2.5,1.95
Asus,17.3,16,Windows 10,2199.0,1080,1920,3.0,3.25
Acer,15.6,4,Windows 10,499.0,1080,1920,2.4,2.4
Lenovo,15.6,4,No OS,450.0,768,1366,2.0,1.9
Acer,15.6,4,Linux,289.0,768,1366,1.6,2.4
Lenovo,14.0,8,Windows 7,1340.0,1080,1920,2.3,2.02
Toshiba,12.5,8,Windows 10,1790.0,1080,1920,2.7,1.1
Samsung,15.0,16,Windows 10,1799.0,1080,1920,2.7,1.71
HP,13.3,4,Windows 10,1799.0,1080,1920,2.5,1.28
Lenovo,13.3,16,Windows 10,1499.0,1080,1920,2.7,1.4
